Title|Author|Genre|Series|Year|Synopsis|Path|ProcessingDate|FileCount|TotalSizeMB|CoverArtFound
Vuelo Final|Ken Follett|Thriller, Espionage|Unknown|1987|A Cold War thriller where a crew aboard a stealth bomber must undertake a perilous mission to retrieve a top-secret Soviet laser weapon prototype from the Kola Peninsula before it can be deployed, facing intense aerial combat and high-stakes espionage.|Ken Follett\Vuelo Final|2025-10-06 17:38:31|1|433.15|True
Los Pilares De La Tierra|Ken Follett|Historical Fiction|The Kingsbridge Series (Book 1)|1989|Set in 12th-century England, this epic historical novel follows the construction of a magnificent Gothic cathedral in the fictional town of Kingsbridge, intertwining the lives of various characters—a master builder, a prior, a noblewoman, and a monk—as they navigate political upheaval, religious ambition, and personal struggles.|Ken Follett\Los Pilares De La Tierra|2025-10-06 17:38:40|3|2805.97|True
The Century|Ken Follett|Historical Fiction, Epic Saga|The Century Trilogy|2010|"""The Century"" refers to the monumental ""Century Trilogy"" by Ken Follett, a sweeping historical epic. It chronicles the lives of five interconnected families—American, German, Russian, English, and Welsh—as they navigate the momentous events of the 20th century, from the First World War through the Cold War, exploring themes of war, peace, love, politics, and social change across different continents."|Ken Follett\The Century|2025-10-06 17:38:53|2|1686.37|True
Cómo Eliminar La ¡ Jodida Puta Ansiedad|Unknown|Self-help|Unknown|Unknown|This book likely offers strategies, techniques, or insights on how to effectively eliminate or manage severe anxiety, using strong language to convey the challenging nature of the condition.|Unknown\Cómo Eliminar La ¡ Jodida Puta Ansiedad|2025-10-06 17:40:52|1|65.68|False
Holly|Stephen King|Horror, Thriller, Mystery|Holly Gibney (Book 6)|2023|Private investigator Holly Gibney takes on a new case involving the disappearance of a young woman. What seems like a simple missing persons investigation quickly unravels into a terrifying encounter with an elderly, highly intelligent, and incredibly depraved couple with a horrific secret.|Stephen King\Holly|2025-10-06 17:41:03|1|248.62|True
En la hierba alta|Joe Hill, Stephen King|Horror|Unknown|2012|A brother and sister, driving across the country, hear a young boy's cry for help from a field of tall grass. They venture in to find him, only to discover that the grass holds a sinister, disorienting presence that traps and preys upon those who enter.|Joe Hill, Stephen King\En La Hierba Alta|2025-10-06 17:41:12|1|30.92|True
Later (No Tengas Miedo)|Stephen King|Crime, Mystery, Horror|Unknown|2021|Jamie Conklin, a young boy with the unique ability to see and communicate with the dead, finds himself entangled in a dangerous investigation for a detective, tracking a deceased serial bomber. As he uncovers terrifying secrets, Jamie must confront the dark realities of his gift and the malevolent forces that threaten his life.|Stephen King\Later (No Tengas Miedo)|2025-10-06 17:41:21|1|1059.62|True
El Médico|Noah Gordon|Historical Fiction|The Cole Trilogy|1986|An 11th-century English orphan apprentices as a barber-surgeon and journeys to Persia, disguised as a Jew, to study medicine at a renowned school, defying religious and social barriers.|Noah Gordon\El Médico|2025-10-06 17:42:13|1|692.14|True
Adiós Al Dolor De Espalda Sin Pastillas|Shaun Davids|Health & Wellness|Unknown|Unknown|A guide offering solutions to relieve back pain without the need for pills or medication.|Shaun Davids\Adiós Al Dolor De Espalda Sin Pastillas|2025-10-06 17:42:24|1|85.14|True
Sleeping Beauties|Stephen King & Owen King|Horror, Fantasy, Thriller|Unknown|2017|In a small Appalachian town, a mysterious pandemic known as Aurora descends upon the world, causing all women to fall into a deep, cocoon-like sleep. If awakened or disturbed, they become primal and violently destructive. As the world struggles with a gender-segregated reality, one woman, Evie, seems immune to the sleeping sickness, and her existence sparks both fear and hope, leading to a desperate struggle between the sexes.|Stephen King & Owen King\Sleeping Beauties|2025-10-06 17:42:32|1|424.92|True
11.22.63|Stephen King|Science Fiction|Unknown|2011|A high school English teacher discovers a time portal and travels back to 1958, embarking on a mission to prevent the assassination of John F. Kennedy, but finds his efforts challenged by the past itself.|Stephen King\11.22.63|2025-10-06 17:42:41|1|616.65|True
Apocalipsis|Stephen King|Post-apocalyptic Horror, Fantasy|Unknown|1978|"After a devastating global pandemic, ""Captain Trips,"" wipes out most of humanity, the remaining survivors are drawn into a supernatural conflict between the forces of good, embodied by the benevolent Mother Abagail, and the malevolent, demonic Randall Flagg, to determine the future of civilization."|Stephen King\Apocalipsis|2025-10-06 17:42:53|1|1335.97|True
Billy Summers|Stephen King|Crime Thriller|Unknown|2021|Billy Summers is a contract killer, but only for truly bad people. He's ready to retire, but takes one last job: to assassinate a man accused of murder. When the plan goes awry, he finds himself in a new and dangerous situation, forced to confront his past and protect a young woman.|Stephen King\Billy Summers|2025-10-06 17:43:07|1|513.18|True
Carretera Maldita|Stephen King|Horror|Unknown|1981|Bart Dawes, an ordinary man, descends into madness and violence when his home and place of work are scheduled for demolition to make way for an interstate highway, leading him to resist the impersonal forces of progress.|Stephen King\Carretera Maldita|2025-10-06 17:43:17|1|166.74|True
Carrie|Stephen King|Horror|Unknown|1974|A shy, outcast teenage girl named Carrie White, constantly tormented by her fanatically religious mother and bullied by her classmates, discovers she has telekinetic powers. Pushed to her breaking point, she unleashes a horrific revenge on her tormentors during the senior prom.|Stephen King\Carrie|2025-10-06 17:43:26|1|155.39|True
Cementerio De Animales|Stephen King|Horror|Unknown|1983|Louis Creed, a doctor, moves his family to a new house in rural Maine, near a pet cemetery. Beyond it lies an ancient burial ground with the power to resurrect the dead, but what comes back is not always what was buried. After a family tragedy, Louis makes a desperate choice that leads to terrifying and horrific consequences.|Stephen King\Cementerio De Animales|2025-10-06 17:43:35|1|426.58|True
Corazones En La Atlántida|Stephen King|Horror, Dark Fantasy, Drama|Unknown|1999|A collection of five interconnected stories set primarily during the Vietnam War era, exploring themes of lost innocence, the impact of war, and the presence of supernatural forces, particularly how past events and choices echo through the lives of its characters.|Stephen King\Corazones En La Atlántida|2025-10-06 17:43:47|1|263.16|True
Cujo|Stephen King|Horror, Thriller|Unknown|1981|A family's beloved St. Bernard dog, Cujo, contracts rabies after a bat bite, transforming into a ferocious and terrifying killer that traps a mother and her young son in their broken-down car during a sweltering summer.|Stephen King\Cujo|2025-10-06 17:43:59|1|451.76|True
Desesperación|Stephen King|Horror|Unknown|1996|Travelers are taken captive by a deranged sheriff in the desolate Nevada town of Desperation, only to discover the town and its inhabitants are under the influence of a malevolent ancient entity named Tak.|Stephen King\Desesperación|2025-10-06 17:44:10|1|358.21|True
Después|Stephen King|Crime, Mystery, Thriller, Supernatural|Hard Case Crime|2021|A young boy named Jamie Conklin, who can see and communicate with the dead, finds himself entangled in a dangerous investigation when his mother's detective girlfriend asks for his help to catch a killer, leading him to confront dark truths about the afterlife.|Stephen King\Después|2025-10-06 17:44:20|1|195.14|True
Dolores Claiborne|Stephen King|Psychological Thriller|Unknown|1992|Dolores Claiborne recounts her life story to police, focusing on her abusive marriage, her strained relationship with her daughter, and the suspicious death of her husband during a total solar eclipse on a remote Maine island.|Stephen King\Dolores Claiborne|2025-10-06 17:44:31|1|150.3|True
Duma Key|Stephen King|Horror|Unknown|2008|The novel follows Edgar Freemantle, a wealthy contractor who, after a horrific accident and the loss of his arm, moves to the remote Duma Key in Florida to heal. There, he discovers a latent artistic talent, but his paintings soon begin to manifest supernatural powers, drawing him into the island's dark history and a terrifying ancient evil.|Stephen King\Duma Key|2025-10-06 17:44:42|1|615.06|True
El Bazar De Los Malos Sueños|Stephen King|Horror, Short Stories|Unknown|2015|A collection of twenty short stories by Stephen King, exploring themes of horror, suspense, and the supernatural, often delving into the psychological depths of human nature and the unsettling aspects of everyday life.|Stephen King\El Bazar De Los Malos Sueños|2025-10-06 17:44:53|1|305.93|True
El Cazador De Sueños|Stephen King|Horror, Science Fiction|Unknown|2001|Four childhood friends, who share a powerful telepathic bond, reunite for their annual hunting trip in the woods of Maine. They encounter a lost and disoriented man, which triggers a horrifying chain of events involving an alien invasion, a parasitic organism, and a secret government operation, forcing them to confront terrifying threats to humanity and their own survival.|Stephen King\El Cazador De Sueños|2025-10-06 17:45:02|1|1417.12|True
El Instituto|Stephen King|Horror, Thriller, Science Fiction|Unknown|2019|Luke Ellis, a gifted 12-year-old with telekinetic abilities, is abducted from his home after his parents are murdered. He awakens in The Institute, a secret facility where other children with various psychic powers are held and subjected to cruel experiments to amplify their gifts for sinister purposes. Luke must rally his new friends and find a way to escape this horrifying place before it's too late.|Stephen King\El Instituto|2025-10-06 17:45:15|1|600.24|True
El Juego De Gerald|Stephen King|Horror, Psychological Thriller|Unknown|1992|A woman's kinky game with her husband at an isolated lake house takes a horrifying turn when her husband dies of a heart attack, leaving her handcuffed to the bed. Trapped and alone, she must confront her past traumas, battle hallucinations, and fight for survival against her physical and psychological tormentors.|Stephen King\El Juego De Gerald|2025-10-06 17:45:24|1|414.79|True
El Misterio De Salem'S Lot|Stephen King|Horror|Unknown|1975|A writer returns to his childhood home of Jerusalem's Lot, Maine, only to discover that its residents are being turned into vampires by an ancient evil.|Stephen King\El Misterio De Salem'S Lot|2025-10-06 17:45:34|1|471.45|True
El Resplandor|Stephen King|Horror|Unknown|1977|A family takes on the role of winter caretakers at an isolated, snowbound hotel, which slowly reveals its terrifying supernatural secrets, driving the father to madness and threatening the lives of his wife and psychic son.|Stephen King\El Resplandor|2025-10-06 17:45:44|1|520.55|True
Doctor Sueño|Stephen King|Horror, Supernatural Horror|El Resplandor|2013|"Follows a now-adult Danny Torrance, still grappling with the trauma of the Overlook Hotel, who must protect a young girl with similar psychic powers, Abra Stone, from a malevolent group called the True Knot that feeds on the life force of children with the ""shining""."|Stephen King\Doctor Sueño|2025-10-06 17:45:55|1|576.05|True
El Visitante|Stephen King|Horror, Crime, Mystery|Unknown|2018|A detective investigates the horrific murder of a young boy, and despite overwhelming evidence against a respected local coach, contradictory proof of his innocence emerges, leading to a terrifying and supernatural mystery.|Stephen King\El Visitante|2025-10-06 17:46:07|1|550.79|True
Elevación|Stephen King|Contemporary Fantasy|Unknown|2018|Scott Carey, a resident of Castle Rock, Maine, is inexplicably losing weight at a rapid pace, yet his body's appearance remains unchanged. This unusual condition grants him an unusual lightness and begins to affect his life and his interactions with the politically divided residents of his small town, leading him to unexpected connections.|Stephen King\Elevación|2025-10-06 17:46:19|1|92.47|True
Fin de guardia (End of Watch)|Stephen King|Horror, Thriller, Crime, Mystery|Bill Hodges Trilogy (Book 3)|2016|The third and final novel in the Bill Hodges trilogy, where retired detective Bill Hodges faces his final confrontation with the comatose, but psychically active, serial killer Brady Hartsfield, who uses his new abilities to target Hodges and his loved ones from his hospital bed.|Stephen King\Fin De Guardia (End Of Watch)|2025-10-06 17:46:29|1|383.61|True
Historias Fantásticas|Stephen King|Fantasy/Horror|Unknown|Unknown|This is a collection of short stories by Stephen King, exploring a range of fantastic, supernatural, and often unsettling themes. The tales typically delve into the darker aspects of human nature, paranormal phenomena, and the unknown, characteristic of King's acclaimed work in horror and suspense.|Stephen King\Historias Fantásticas|2025-10-06 17:46:38|1|162.63|True
It|Stephen King|Horror|Unknown|1986|In the summer of 1958, a group of seven outcast children in Derry, Maine, known as the Losers' Club, are terrorized by an ancient, malevolent entity that exploits the fears of its victims and usually appears in the form of Pennywise the Dancing Clown. Twenty-seven years later, the creature returns, and the now-adult Losers' Club must reunite to fulfill their childhood vow and destroy It once and for all.|Stephen King\It|2025-10-06 17:46:53|1|1264.26|True
La Chica Que Amaba A Tom Gordon|Stephen King|Horror, Psychological Thriller|Unknown|1999|A nine-year-old girl named Trisha McFarland gets lost in the woods while hiking with her family. As she struggles to survive the elements and her increasing dehydration and hallucinations, she imagines her idol, baseball player Tom Gordon, is with her, guiding her through the terrifying wilderness where she believes a supernatural entity is hunting her.|Stephen King\La Chica Que Amaba A Tom Gordon|2025-10-06 17:47:06|1|169.62|True
La Cúpula (Under the Dome)|Stephen King|Science Fiction|Unknown|2009|The residents of Chester's Mill, Maine, find themselves inexplicably trapped when an invisible, impenetrable force field descends upon their town, cutting them off from the rest of the world. As resources dwindle and panic rises, chaos erupts, revealing the true nature of humanity under extreme pressure.|Stephen King\La Cúpula (Under The Dome)|2025-10-06 17:47:15|1|559.7|True
Lisey's Story (La Historia De Lisey)|Stephen King|Psychological Horror, Supernatural Fiction, Romantic Horror|Unknown|2006|Two years after the death of her famous novelist husband, Scott Landon, Lisey Landon begins to face disturbing events and decipher a series of cryptic clues he left behind. These clues lead her into a terrifying secret world, a magical and dangerous realm called 'Boo'ya Moon,' which was both the source of Scott's creativity and his torment. The novel explores themes of grief, memory, the creative process, and the enduring, often dark, power of love.|Stephen King\Lisey'S Story (La Historia De Lisey)|2025-10-06 17:47:25|1|275.52|True
La Larga Marcha|Stephen King|Dystopian Fiction|Unknown|1979|"In a dystopian future, one hundred teenage boys embark on an annual walking contest called ""The Long Walk."" They must continuously walk at a minimum speed; those who falter or break rules are summarily executed. The last boy remaining alive wins any wish they desire for life."|Stephen King\La Larga Marcha|2025-10-06 17:47:35|1|159.0|True
La Milla Verde|Stephen King|Supernatural Thriller|Unknown|1996|Set in a Louisiana death row facility during the Great Depression, the story follows Paul Edgecomb, a corrections officer, and his extraordinary encounter with John Coffey, a massive black man convicted of a heinous crime, who possesses a mysterious and miraculous healing power, forcing Edgecomb to confront the moral complexities of his duty.|Stephen King\La Milla Verde|2025-10-06 17:47:46|1|409.42|True
La Niebla|Stephen King|Horror, Science Fiction, Thriller|Unknown|1985|After a violent thunderstorm, a mysterious, dense mist rolls over a small Maine town, trapping David Drayton and his son along with other locals in a supermarket. The mist conceals monstrous, otherworldly creatures, forcing the survivors to battle not only the unknown horrors outside but also the escalating paranoia and religious fanaticism that emerges within their trapped group.|Stephen King\La Niebla|2025-10-06 17:47:57|1|181.37|True
La Sangre Manda|Stephen King|Horror, Suspense, Supernatural, Novella Collection|Unknown|2020|"A collection of four novellas by Stephen King, which includes ""Mr. Harrigan's Phone,"" ""The Life of Chuck,"" ""If It Bleeds"" (the titular novella), and ""Rat."" The stories explore various dark themes, including the impact of technology, mortality, and the presence of malevolent supernatural entities. The novella ""If It Bleeds"" features the recurring character Holly Gibney."|Stephen King\La Sangre Manda|2025-10-06 17:48:08|1|471.2|True
La Tienda|Stephen King|Horror, Supernatural Fiction, Psychological Thriller|Unknown|1991|"A mysterious new antique shop called ""Needful Things"" (La Tienda) opens in the small town of Castle Rock, Maine, run by the enigmatic Leland Gaunt. Gaunt sells unique items desired by the townspeople, but the price is not monetary; instead, customers are required to play practical jokes or commit malicious acts against their neighbors, slowly escalating tensions and leading the town into chaos and self-destruction."|Stephen King\La Tienda|2025-10-06 17:48:23|1|414.03|True
Mientras Escribo|Stephen King|Non-fiction|Unknown|2000|Stephen King's non-fiction work that blends an autobiographical account of his life, career, and a near-fatal accident, with practical advice and reflections on the craft of writing. It offers a candid look into his methods and philosophy of storytelling.|Stephen King\Mientras Escribo|2025-10-06 17:48:35|1|122.18|True
Misery|Stephen King|Horror/Thriller|Unknown|1987|"A famous author, Paul Sheldon, is rescued from a car crash by his self-proclaimed ""number one fan,"" Annie Wilkes. As he recovers, he discovers Annie is a psychotic former nurse who holds him captive and forces him to write a new novel to bring back her favorite character, Misery Chastain."|Stephen King\Misery|2025-10-06 17:48:45|1|399.0|True
Mr. Mercedes|Stephen King|Crime Thriller|Bill Hodges Trilogy #1|2014|Retired detective Bill Hodges is taunted by a serial killer, Brady Hartsfield, who drove a stolen Mercedes into a crowd, killing and injuring many. Hartsfield threatens another attack, forcing Hodges into a desperate race against time to stop him.|Stephen King\Mr. Mercedes|2025-10-06 17:48:56|1|432.12|True
Quien Pierde Paga|Stephen King|Crime Fiction, Thriller|Nightmares & Dreamscapes|1993|A short story about a small-time criminal named Barney who, after being double-crossed and left for dead following a successful heist, seeks brutal revenge against his former partners.|Stephen King\Quien Pierde Paga|2025-10-06 17:49:06|1|402.43|True
Todo Oscuro, Sin Estrellas|Stephen King|Horror, Thriller, Dark Fiction|Unknown|2010|"A collection of four dark novellas by Stephen King (translated as ""Full Dark, No Stars"") exploring themes of crime, revenge, and the capacity for evil within ordinary people."|Stephen King\Todo Oscuro, Sin Estrellas|2025-10-06 17:49:19|1|379.3|True
Cuento De Hadas|Stephen King|Dark Fantasy, Horror|Unknown|2022|Seventeen-year-old Charlie Reade inherits a house and a portal to another world after caring for an old, reclusive neighbor. He discovers a magical, perilous kingdom called Empis, where good and evil are locked in a timeless war. Charlie must confront dark forces and an ancient prophecy to save this new world and its inhabitants, including a dying princess and his beloved dog, Radar.|Stephen King\Cuento De Hadas|2025-10-06 17:49:29|1|725.15|True
El Talismán|Stephen King, Peter Straub|Dark Fantasy, Horror, Adventure|Jack Sawyer (Book 1)|1984|"A young boy named Jack Sawyer journeys through two parallel worlds—our own and a fantastical realm known as ""The Territories""—to find a mysterious artifact called ""The Talisman"" to save his dying mother."|Stephen King, Peter Straub\El Talismán|2025-10-06 17:49:44|1|494.84|True
Casa Negra|Stephen King, Peter Straub|Horror|Jack Sawyer|Unknown|Unknown|Stephen King, Peter Straub\Casa Negra|2025-10-06 17:49:57|1|363.67|True
La Caja De Botones De Gwendy|Stephen King, Richard Chizmar|Horror, Fantasy, Thriller|Gwendy Trilogy (Book 1)|2017|A young girl, Gwendy Peterson, is given a mysterious and powerful button box by a stranger. The box grants desires but demands responsibility, leading Gwendy on a path of difficult choices and unforeseen consequences throughout her life.|Stephen King, Richard Chizmar\La Caja De Botones De Gwendy|2025-10-06 17:50:14|1|81.65|True
Un Rostro En La Multitud|Stephen King, Stewart O’Nan|Horror, Thriller, Supernatural|Unknown|2012|Dean Evers, a widower, mourns the loss of his wife by watching baseball games on TV. He starts to notice ghostly figures in the crowd, people from his past who are now dead, staring back at him from the screen. These apparitions become more frequent and unsettling, hinting at a sinister, supernatural presence manifesting through his television.|Stephen King, Stewart O’Nan\Un Rostro En La Multitud|2025-10-06 17:50:25|1|28.34|True
La Pluma Mágica De Gwendy|Stephen King, Richard Chizmar|Supernatural Thriller|Gwendy (Book 2)|2019|Gwendy Peterson, now a successful author and politician, is called back to Castle Rock to protect a magical, dangerous box she thought she had left behind. She must confront its dark influence and a looming cosmic threat.|Stephen King, Richard Chizmar\La Pluma Mágica De Gwendy|2025-10-06 17:50:37|1|154.89|True
Gwendy's Final Mission|Stephen King, Richard Chizmar|Dark Fantasy|Gwendy (Book 3)|Unknown|Now a successful novelist and US Senator, Gwendy Peterson must embark on her most dangerous mission yet, traveling into space to prevent the mysterious and powerful button box from causing a cosmic catastrophe, in a race against time to save humanity.|Stephen King, Richard Chizmar\Gwendy'S Final Mission|2025-10-06 17:50:51|1|234.58|True
Talentocracia|Salvador Molina & Eduardo Toledo|Unknown|Unknown|Unknown|Unknown|Salvador Molina & Eduardo Toledo\Talentocracia|2025-10-06 17:51:04|1|196.99|True
Todo Lo Que Queda|Sue Black|Memoir|Unknown|2018|A renowned forensic anthropologist, Sue Black, reflects on her extraordinary career spent examining death, offering a unique and profound perspective on the human body, mortality, and the stories that all that remains can tell.|Sue Black\Todo Lo Que Queda|2025-10-06 17:52:08|1|385.1|True
Viaje Sin Retorno|Frank J. Cavill|Science Fiction|El Proyecto Orfeo|Unknown|Unknown|Frank J. Cavill\Viaje Sin Retorno|2025-10-06 17:55:48|1|356.97|False
Cómo Redactar Y Escribir Correctamente|Mauricio Fau|Writing Guide|Unknown|Unknown|A practical guide offering techniques and advice to improve writing skills, focusing on clarity, coherence, grammar, and effective communication in written form.|Mauricio Fau\Cómo Redactar Y Escribir Correctamente|2025-10-06 17:55:57|1|40.89|False
El Culto De Los Gaal|Frank J. Cavill|Ciencia ficción|El Proyecto Orfeo|2014|The first book in the 'El Proyecto Orfeo' series, it delves into the discovery of an ancient cult tied to a powerful, mysterious entity called Gaal, and a secret project to decipher its secrets and implications for humanity.|Frank J. Cavill\El Culto De Los Gaal|2025-10-06 17:56:07|1|369.67|False
La Mujer De Metal|Frank J. Cavill|Ciencia Ficción|El Proyecto Orfeo|Unknown|Unknown|Frank J. Cavill\La Mujer De Metal|2025-10-06 17:56:21|1|395.47|False
El Legado De Galileo|Frank J Cavill|Unknown|El Proyecto Orfeo|Unknown|Unknown|Frank J Cavill\El Legado De Galileo|2025-10-06 17:56:33|1|384.34|False
Entre Las Sombras|Frank J. Cavill|Unknown|El Proyecto Orfeo|Unknown|Unknown|Frank J. Cavill\Entre Las Sombras|2025-10-06 17:56:42|1|370.94|False
Cómo Resumir: Aprende Los Secretos De La Técnica De Estudio Más|Unknown|Self-Help/Educational|Unknown|Unknown|This book delves into the secrets of an effective study technique, specifically focusing on how to summarize information.|Unknown\Cómo Resumir Aprende Los Secretos De La Técnica De Estudio Más|2025-10-06 17:56:50|1|25.12|False
12 Técnicas De Estudio Para Personas Con Tdah|Mauricio Fau|Self-help|Unknown|Unknown|A practical guide offering 12 study techniques tailored for individuals with ADHD.|Mauricio Fau\12 Técnicas De Estudio Para Personas Con Tdah|2025-10-06 17:57:01|1|11.06|False
13 Técnicas De Estudio Para Personas Con Tea|Mauricio Fau|Self-Help|Unknown|Unknown|This book offers 13 specific study techniques designed to assist individuals with Autism Spectrum Disorder (TEA/ASD) in improving their learning processes and academic performance.|Mauricio Fau\13 Técnicas De Estudio Para Personas Con Tea|2025-10-06 17:57:10|1|15.34|False
Técnicas De Estudio Para Personas Con Hipoacusia|Mauricio Fau|Non-fiction|Unknown|Unknown|This book provides study techniques specifically designed for individuals with hearing loss, aiming to enhance their learning process and academic performance.|Mauricio Fau\Técnicas De Estudio Para Personas Con Hipoacusia|2025-10-06 17:57:21|1|15.45|False
Autodisciplina Diaria Y Procrastinación|Unknown|Self-Help|Unknown|Unknown|This audiobook likely provides guidance and strategies on developing daily self-discipline and overcoming procrastination. It may offer practical advice and techniques to improve productivity and personal effectiveness.|Unknown\Autodisciplina Diaria Y Procrastinación|2025-10-06 17:57:32|1|122.43|False
Autofagia: Descubra Los Secretos Para La Pérdida De Peso, El Rejuvenecimiento|Unknown|Health, Self-Help|Unknown|Unknown|This book delves into the process of autophagy, revealing the secrets and benefits for achieving weight loss and promoting rejuvenation.|Unknown\Autofagia Descubra Los Secretos Para La Pérdida De Peso, El Rejuvenecimiento|2025-10-06 17:57:43|1|90.41|False
Ayuno Intermitente Libro De Cocina De Dieta En Ayunas|Unknown|Salud y Bienestar|Unknown|Unknown|Un libro de cocina que proporciona recetas y planes de comidas diseñados específicamente para una dieta de ayuno intermitente, ofreciendo orientación para quienes practican este régimen alimenticio.|Unknown\Ayuno Intermitente Libro De Cocina De Dieta En Ayunas|2025-10-06 17:57:57|1|83.97|False
Inexplicado|David Cuevas|Mystery, True Crime, Paranormal|Unknown|2020|A podcast by David Cuevas that delves into unexplained mysteries, paranormal phenomena, true crime stories, and forgotten historical incidents from around the world.|David Cuevas\Inexplicado|2025-10-06 17:58:07|1|246.54|True
De La Pasión Al Negocio|Manuel K. Sevilla|Business, Self-help, Entrepreneurship|Unknown|Unknown|A guide on how to transform personal passions and interests into a successful and profitable business venture.|Manuel K. Sevilla\De La Pasión Al Negocio|2025-10-06 17:58:24|1|55.68|False
Diagonal Manhattan|Xavier Bosch|Fiction|Unknown|2008|The story follows Joan Ferrer, an architect who, after experiencing a family crisis in Barcelona, decides to move to New York, specifically Manhattan, to start a new life and escape his past. The novel explores themes of identity, memory, and the search for new beginnings.|Xavier Bosch\Diagonal Manhattan|2025-10-06 17:58:32|1|351.61|False
El Aliento De Los Dioses|Brandon Sanderson|Epic Fantasy|Cosmere (Standalone)|2009|"In the vibrant world of Nalthis, two sisters, Vivenna and Siri, are caught in a conflict between their peaceful nation and the colorful, volatile Hallandren, ruled by a god-king. They navigate political intrigue, question the nature of divinity, and learn about a unique magic system based on ""BioChromatic Breath."""|Brandon Sanderson\El Aliento De Los Dioses|2025-10-06 17:58:43|1|747.98|False
El Arte De La Guerra|Sun Tzu|Military Strategy, Philosophy|Unknown|c. 5th Century BCE|A foundational ancient Chinese military treatise offering strategic and tactical principles applicable to warfare, business, and leadership beyond the battlefield.|Sun Tzu\El Arte De La Guerra|2025-10-06 17:58:58|1|102.02|False
El Asesinato De Aristóteles|Marcos Chicot|Historical Thriller|Unknown|2012|In 330 BC Athens, a series of mysterious murders disrupt Aristotle's Lyceum. Young investigator Stefanos must uncover the truth amidst philosophical intrigue, betrayal, and political tensions.|Marcos Chicot\El Asesinato De Aristóteles|2025-10-06 17:59:13|1|491.13|False
El Brillo De Las Luciérnagas|Paul Pen|Psychological Thriller|Unknown|2017|A dark and unsettling novel about a boy named Leo who lives a secluded life with his family, harboring a disturbing secret that slowly unravels through themes of memory, identity, and trauma, leading to a shocking revelation.|Paul Pen\El Brillo De Las Luciérnagas|2025-10-06 17:59:22|1|574.89|True
El Escritor Y La Espía|Jorge Corrales|Thriller|Unknown|2023|A crime novelist struggling for inspiration for his next work finds himself immersed in a world of intrigue and danger when he meets an enigmatic woman who turns out to be an international spy. As their relationship deepens, he becomes entangled in a web of secrets and betrayals, blurring the lines between fiction and reality.|Jorge Corrales\El Escritor Y La Espía|2025-10-06 17:59:31|1|261.65|False
El Regreso De Tarzán|Edgar Rice Burroughs|Adventure|Tarzán|1915|Tarzán, having renounced his identity for Jane's happiness, finds himself entangled in new adventures in Europe before returning to Africa where he encounters a lost city and eventually reunites with Jane.|Edgar Rice Burroughs\El Regreso De Tarzán|2025-10-06 17:59:44|1|275.54|False
El Nuevo Paraíso y Otros Cuentos Tecnológicos|Hernán Casciari|Science Fiction|Unknown|2007|A collection of speculative and technological short stories by Hernán Casciari, exploring the impact of technology on human life, often with a humorous and insightful perspective.|Hernán Casciari\El Nuevo Paraíso Y Otros Cuentos Tecnológicos|2025-10-06 17:59:55|1|65.5|False
Estamos Ciegos|José Saramago|Dystopian Fiction|Unknown|1995|"An unexplained epidemic of ""white blindness"" sweeps through an unnamed city, plunging its inhabitants into chaos and revealing the raw, primal aspects of human nature. The novel follows a group of quarantined blind individuals, guided by the only person who retains her sight, as they struggle for survival amidst the complete breakdown of society."|José Saramago\Estamos Ciegos|2025-10-06 18:00:08|1|139.3|False
La Metamorfosis|Franz Kafka|Existential Fiction, Absurdist Fiction|Unknown|Unknown|The story of Gregor Samsa, a traveling salesman, who wakes up one morning to find himself inexplicably transformed into a monstrous insect. It explores themes of alienation, family duty, guilt, and the absurdity of existence.|Franz Kafka\La Metamorfosis|2025-10-06 18:00:26|2|117.18|False
La Sombra De Los Sueños|Blue Jeans (Francisco de Paula Fernández)|Young Adult|Los Estuches de Valeria|2013|Valeria, an aspiring writer, faces marital troubles and a new neighbor while her best friends navigate their own romantic and life challenges in Madrid, exploring themes of friendship, love, and self-discovery.|Blue Jeans (Francisco De Paula Fernández)\La Sombra De Los Sueños|2025-10-06 18:00:36|1|1088.13|True
En El Japón Fantasmal|Lafcadio Hearn|Folklore, Essays, Supernatural Fiction|Unknown|Unknown|A collection of essays and stories by Lafcadio Hearn exploring various aspects of Japanese culture, legends, ghost tales, and spiritual beliefs, offering a deep dive into the country's mystical and traditional side.|Lafcadio Hearn\En El Japón Fantasmal|2025-10-06 18:00:47|1|110.59|True
Sombras|Lafcadio Hearn|Supernatural Fiction|Unknown|1904|A collection of haunting and eerie short stories, primarily inspired by Japanese folklore and ghost traditions, delving into themes of the supernatural and the mysterious.|Lafcadio Hearn\Sombras|2025-10-06 18:00:55|1|121.41|True
Lolita|Vladimir Nabokov|Literary Fiction|Unknown|1955|"Tells the story of Humbert Humbert, a middle-aged literature professor who becomes obsessed with a 12-year-old girl named Dolores Haze, whom he renames ""Lolita,"" and his subsequent pursuit and sexual relationship with her. The novel explores themes of obsession, morality, and the corrupting nature of desire."|Vladimir Nabokov\Lolita|2025-10-06 18:01:09|1|437.06|False
